sentence_id,system,system_type,source_gender,gender_F,profession1_position,correct,gender1_translated,stereotype1,gender2_translated,stereotype2,pronoun_recoverable,pronoun_gender
1,Google,NMT,female,1,1,0,m,1,f,1,1,f
1,DeepL,NMT,female,1,1,0,m,1,f,1,1,f
1,ChatGPT-4o,LLM,female,1,1,0,m,1,m,-1,1,f
1,DeepSeek-V3,LLM,female,1,1,0,m,1,m,-1,1,f
2,Google,NMT,male,0,4,1,m,-1,m,1,0,unrecoverable
2,DeepL,NMT,male,0,4,0,m,1,m,1,0,unrecoverable
2,ChatGPT-4o,LLM,male,0,4,1,m,-1,m,1,1,m
2,DeepSeek-V3,LLM,male,0,4,1,m,-1,m,1,0,unrecoverable
3,Google,NMT,female,1,6,1,f,-1,f,1,1,f
3,DeepL,NMT,female,1,6,0,m,1,f,1,1,f
3,ChatGPT-4o,LLM,female,1,6,0,m,1,m,-1,1,f
3,DeepSeek-V3,LLM,female,1,6,0,m,1,f,1,1,f
4,Google,NMT,male,0,1,1,m,-1,m,1,1,m
4,DeepL,NMT,male,0,1,0,m,1,m,1,0,unrecoverable
4,ChatGPT-4o,LLM,male,0,1,1,m,-1,m,1,1,m
4,DeepSeek-V3,LLM,male,0,1,0,f,1,m,1,1,m
5,Google,NMT,female,1,1,0,m,1,f,1,1,f
5,DeepL,NMT,female,1,1,0,m,1,f,1,1,f
5,ChatGPT-4o,LLM,female,1,1,1,f,-1,f,1,1,f
5,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
6,Google,NMT,male,0,4,0,f,1,m,1,1,f
6,DeepL,NMT,male,0,4,0,m,1,m,1,1,f
6,ChatGPT-4o,LLM,male,0,4,0,f,1,f,-1,1,m
6,DeepSeek-V3,LLM,male,0,4,0,f,1,m,1,1,m
7,Google,NMT,female,1,1,1,f,-1,f,1,0,unrecoverable
7,DeepL,NMT,female,1,1,0,m,1,f,1,0,unrecoverable
7,ChatGPT-4o,LLM,female,1,1,1,f,-1,f,1,1,f
7,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,0,unrecoverable
8,Google,NMT,male,0,7,1,m,-1,m,1,0,unrecoverable
8,DeepL,NMT,male,0,7,0,m,1,m,1,1,m
8,ChatGPT-4o,LLM,male,0,7,0,f,1,m,1,0,unrecoverable
8,DeepSeek-V3,LLM,male,0,7,0,f,1,m,1,1,m
9,Google,NMT,female,1,1,0,m,1,f,1,1,f
9,DeepL,NMT,female,1,1,0,m,1,f,1,1,f
9,ChatGPT-4o,LLM,female,1,1,1,f,-1,m,-1,1,f
9,DeepSeek-V3,LLM,female,1,1,1,f,-1,m,-1,1,f
10,Google,NMT,male,0,5,1,m,-1,m,1,1,m
10,DeepL,NMT,male,0,5,0,m,1,m,1,1,m
10,ChatGPT-4o,LLM,male,0,5,1,m,-1,m,1,0,unrecoverable
10,DeepSeek-V3,LLM,male,0,5,1,m,-1,f,-1,1,m
11,Google,NMT,female,1,1,1,f,-1,f,1,1,f
11,DeepL,NMT,female,1,1,1,f,-1,f,1,0,unrecoverable
11,ChatGPT-4o,LLM,female,1,1,1,f,-1,f,1,0,unrecoverable
11,DeepSeek-V3,LLM,female,1,1,0,m,1,f,1,1,f
12,Google,NMT,male,0,7,1,m,-1,m,1,1,m
12,DeepL,NMT,male,0,7,1,m,-1,m,1,1,m
12,ChatGPT-4o,LLM,male,0,7,0,f,1,m,1,0,unrecoverable
12,DeepSeek-V3,LLM,male,0,7,0,f,1,m,1,1,m
13,Google,NMT,female,1,1,0,m,1,m,-1,1,f
