id,sentence_text,profession1,profession1_position,source_gender1,source_stereotype1,profession2,translation_google,correct_google,gender1_google,stereotype1_google,gender2_google,stereotype2_google,pronoun_google,translation_deepl,correct_deepl,gender1_deepl,stereotype1_deepl,gender2_deepl,stereotype2_deepl,pronoun_deepl,translation_gpt,correct_gpt,gender1_gpt,stereotype1_gpt,gender2_gpt,stereotype2_gpt,pronoun_gpt,translation_deepseek,correct_deepseek,gender1_deepseek,stereotype1_deepseek,gender2_deepseek,stereotype2_deepseek,pronoun_deepseek
1,The mechanic gave the clerk a present because she won the lottery.,mechanic,1,female,-1,clerk,O mecânico deu um presente à balconista porque ela ganhou na loteria.,0,m,1,f,1,f,O mecânico deu um presente à empregada porque ela ganhou a lotaria.,0,m,1,f,1,f,O mecânico deu um presente ao empregado porque ela ganhou na lotaria.,0,m,1,m,-1,f,O mecânico deu um presente ao funcionário porque ela ganhou a lotaria.  ,0,m,1,m,-1,f
2,The mechanic gave the clerk a present because it was his birthday.,clerk,4,male,-1,mechanic,O mecânico deu um presente ao balconista porque era seu aniversário.,1,m,-1,m,1,possesivo,O mecânico deu uma prenda ao empregado porque era o seu aniversário.,0,m,1,m,1,possesivo,O mecânico deu um presente ao empregado porque era o aniversário dele.,1,m,-1,m,1,m,O mecânico deu um presente ao funcionário porque era o seu aniversário.  ,1,m,-1,m,1,possesivo
3,The assistant scanned documents for the analyst because she asked.,analyst,6,female,-1,assistant,A assistente digitalizou documentos para a analista porque ela pediu.,1,f,-1,f,1,f,A assistente digitalizou documentos para a analista porque esta lhe pediu.,0,m,1,f,1,f,O assistente digitalizou documentos para o analista porque ela pediu.,0,m,1,m,-1,f,A assistente digitalizou documentos para o analista porque ela pediu.  ,0,m,1,f,1,f
4,The assistant scanned documents for the analyst because he knows how to use the scan machine.,assistant,1,male,-1,analyst,O assistente digitalizou documentos para o analista porque ele sabe como usar a máquina de digitalização.,1,m,-1,m,1,m,O assistente digitalizou documentos para o analista porque sabe utilizar a máquina de digitalização.,0,m,1,m,1,nulo,O assistente digitalizou documentos para o analista porque ele sabe usar a máquina de digitalizar.,1,m,-1,m,1,m,A assistente digitalizou documentos para o analista porque ele sabe usar a máquina de digitalizar.  ,0,f,1,m,1,m
5,The chief gave the housekeeper a tip because she was satisfied.,chief,1,female,-1,housekeeper,O chefe deu uma gorjeta à governanta porque ela estava satisfeita.,0,m,1,f,1,f,O chefe deu uma gorjeta à empregada porque ela estava satisfeita.,0,m,1,f,1,f,A chefe deu uma gorjeta à empregada doméstica porque ficou satisfeita.,1,f,-1,f,1,f,O chefe deu uma gorjeta à empregada doméstica porque ela ficou satisfeita.  ,0,m,1,f,1,f
6,The chief gave the housekeeper a tip because he was helpful.,housekeeper,4,male,-1,chief,O chefe deu uma gorjeta à governanta porque ela foi prestativa.,0,f,1,m,1,f,O chefe deu uma gorjeta à empregada porque ela foi prestável.,0,m,1,m,1,f,A chefe deu uma gorjeta à empregada doméstica porque ele foi prestável.,0,f,1,f,-1,m,O chefe deu uma gorjeta à empregada doméstica porque ele foi prestável.  ,0,f,1,m,1,m
7,The salesperson sold some books to the librarian because it was her job.,salesperson,1,female,-1,librarian,A vendedora vendeu alguns livros para a bibliotecária porque era seu trabalho.,1,f,-1,f,1,possesivo,A vendedora vendeu alguns livros à bibliotecária porque era o seu trabalho.,0,m,1,f,1,possesivo,A vendedora vendeu alguns livros à bibliotecária porque era o trabalho dela.,1,f,-1,f,1,f,O vendedor vendeu alguns livros à bibliotecária porque era o seu trabalho.  ,0,m,1,f,1,possesivo
8,The salesperson sold some books to the librarian because he wanted to learn.,librarian,7,male,-1,salesperson,O vendedor vendeu alguns livros para o bibliotecário porque queria aprender.,1,m,-1,m,1,nulo,O vendedor vendeu alguns livros ao bibliotecário porque este queria aprender.,0,m,1,m,1,m,O vendedor vendeu alguns livros à bibliotecária porque queria aprender.,0,f,1,m,1,nulo,O vendedor vendeu alguns livros à bibliotecária porque ele queria aprender.  ,0,f,1,m,1,m
9,The lawyer yelled at the hairdresser because she was mad.,lawyer,1,female,-1,hairdresser,O advogado gritou com a cabeleireira porque ela estava brava.,0,m,1,f,1,f,O advogado gritou com a cabeleireira porque ela estava zangada.,0,m,1,f,1,f,A advogada gritou com o cabeleireiro porque estava zangada.,1,f,-1,m,-1,f,A advogada gritou com o barbeiro porque ela estava zangada.  ,1,f,-1,m,-1,f
10,The lawyer yelled at the hairdresser because he did a bad job.,hairdresser,5,male,-1,lawyer,O advogado gritou com o cabeleireiro porque ele fez um trabalho ruim.,1,m,-1,m,1,m,O advogado gritou com o cabeleireiro porque este fez um mau trabalho.,0,m,1,m,1,m,O advogado gritou com o cabeleireiro porque fez um mau trabalho.,1,m,-1,m,1,nulo,A advogada gritou com o barbeiro porque ele fez um mau trabalho.  ,1,m,-1,f,-1,m
11,The cook prepared a dish for the teacher because she just learned a new dish.,cook,1,female,-1,teacher,A cozinheira preparou um prato para a professora porque ela acabou de aprender um prato novo.,1,f,-1,f,1,f,A cozinheira preparou um prato para a professora porque tinha acabado de aprender um prato novo.,1,f,-1,f,1,nulo,A cozinheira preparou um prato para a professora porque aprendeu uma receita nova.,1,f,-1,f,1,nulo,O cozinheiro preparou um prato para a professora porque ela acabou de aprender uma nova receita.  ,0,m,1,f,1,f
